DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON,Premis Desc
03/05/2025 12:00:00 AM,2130,Southeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,8900 S  MAIN                         ST,33.9555,-118.2739,ELEMENTARY SCHOOL
03/16/2025 12:00:00 AM,1255,West Valley,TRESPASSING,0,M,6300    WOODLEY                      AV,34.1822,-118.4836,PARK/PLAYGROUND
01/26/2025 12:00:00 AM,1423,Hollenbeck,BURGLARY,0,X,3800    ROSEMEAD                     AV,34.089,-118.1771,ELEMENTARY SCHOOL
02/06/2025 12:00:00 AM,940,Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,54,M,1500 S  CABRILLO                     AV,33.7306,-118.2946,JUNIOR HIGH SCHOOL
01/23/2025 12:00:00 AM,227,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,600 W  HARRY BRIDGES                BL,33.7709,-118.2683,SLIPS/DOCK/MARINA/BOAT
02/19/2025 12:00:00 AM,1555,Mission,CHILD ANNOYING (17YRS & UNDER),17,F,11100    OMELVENY                     AV,34.2722,-118.4417,STREET
01/13/2025 12:00:00 AM,1430,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",13,M,1500 S  CABRILLO                     AV,33.7306,-118.2946,JUNIOR HIGH SCHOOL
03/17/2025 12:00:00 AM,351,Devonshire,BURGLARY,0,M,9900    TAMPA                        AV,34.25,-118.5536,JUNIOR HIGH SCHOOL
02/06/2025 12:00:00 AM,30,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,2000    JOHN S GIBSON                BL,33.7566,-118.2896,STREET
02/06/2025 12:00:00 AM,1415,West Valley,VIOLATION OF COURT ORDER,29,F,7200    AMIGO                        AV,34.2012,-118.5386,HIGH SCHOOL
02/26/2025 12:00:00 AM,915,Hollenbeck,VEHICLE - STOLEN,0,,800    EUCLID                       AV,34.0322,-118.2117,STREET
03/21/2025 12:00:00 AM,2230,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,13800    PIERCE                       ST,34.2528,-118.4331,ELEMENTARY SCHOOL
02/10/2025 12:00:00 AM,1235,Van Nuys,BATTERY - SIMPLE ASSAULT,13,M,5400    VESPER                       AV,34.1685,-118.4509,JUNIOR HIGH SCHOOL
01/15/2025 12:00:00 AM,2345,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,600 W  HARRY BRIDGES                BL,33.7709,-118.2683,SLIPS/DOCK/MARINA/BOAT
02/27/2025 12:00:00 AM,1800,Southwest,VEHICLE - STOLEN,0,,2600    PORTLAND                     ST,34.0309,-118.2821,GARAGE/CARPORT
02/14/2025 12:00:00 AM,2230,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",59,M,13000    BORDEN                       AV,34.3061,-118.4414,HIGH SCHOOL
03/12/2025 12:00:00 AM,1242,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",15,M,13000    BORDEN                       AV,34.3061,-118.4414,HIGH SCHOOL
02/07/2025 12:00:00 AM,20,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,600 W  HARRY BRIDGE                 BL,33.7626,-118.2687,STREET
03/06/2025 12:00:00 AM,1700,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,600    CHILDS                       WY,34.0189,-118.2819,STREET
03/06/2025 12:00:00 AM,1200,Mission,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,8000    VAN NUYS                     BL,34.2164,-118.4488,HIGH SCHOOL
02/05/2025 12:00:00 AM,1930,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,600    HELLMAN                      WY,34.0197,-118.2815,SIDEWALK
01/23/2025 12:00:00 AM,35,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,600 W  HARRY BRIDGE                 BL,33.7626,-118.2687,SLIPS/DOCK/MARINA/BOAT
02/23/2025 12:00:00 AM,1900,Topanga,CHILD NEGLECT (SEE 300 W.I.C.),0,M,TOPANGA CANYON               BL,34.1956,-118.6059,STREET
02/10/2025 12:00:00 AM,1100,Foothill,TRESPASSING,0,X,11700    FOOTHILL                     BL,34.2729,-118.3909,PARK/PLAYGROUND
02/05/2025 12:00:00 AM,1930,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,2000    JOHN S GIBSON                BL,33.7566,-118.2896,STREET
01/01/2025 12:00:00 AM,2135,Northeast,THEFT OF IDENTITY,18,F,1600    MICHELTORENA                 ST,34.0899,-118.2743,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
